caseid,noisy_path,clean_path
1000187,1000187/T1_noisy.nii.gz,1000187/T1_clean.nii.gz
1000381,1000381/T1_noisy.nii.gz,1000381/T1_clean.nii.gz
1000397,1000397/T1_noisy.nii.gz,1000397/T1_clean.nii.gz
1000578,1000578/T1_noisy.nii.gz,1000578/T1_clean.nii.gz
1000853,1000853/T1_noisy.nii.gz,1000853/T1_clean.nii.gz
1001567,1001567/T1_noisy.nii.gz,1001567/T1_clean.nii.gz
1001576,1001576/T1_noisy.nii.gz,1001576/T1_clean.nii.gz
1001739,1001739/T1_noisy.nii.gz,1001739/T1_clean.nii.gz
1001815,1001815/T1_noisy.nii.gz,1001815/T1_clean.nii.gz
1001870,1001870/T1_noisy.nii.gz,1001870/T1_clean.nii.gz
1002056,1002056/T1_noisy.nii.gz,1002056/T1_clean.nii.gz
1002097,1002097/T1_noisy.nii.gz,1002097/T1_clean.nii.gz
1002159,1002159/T1_noisy.nii.gz,1002159/T1_clean.nii.gz
1002347,1002347/T1_noisy.nii.gz,1002347/T1_clean.nii.gz
1002394,1002394/T1_noisy.nii.gz,1002394/T1_clean.nii.gz
1002514,1002514/T1_noisy.nii.gz,1002514/T1_clean.nii.gz
1002551,1002551/T1_noisy.nii.gz,1002551/T1_clean.nii.gz
1002586,1002586/T1_noisy.nii.gz,1002586/T1_clean.nii.gz
1002611,1002611/T1_noisy.nii.gz,1002611/T1_clean.nii.gz
1002745,1002745/T1_noisy.nii.gz,1002745/T1_clean.nii.gz
1003064,1003064/T1_noisy.nii.gz,1003064/T1_clean.nii.gz
1003456,1003456/T1_noisy.nii.gz,1003456/T1_clean.nii.gz
1003762,1003762/T1_noisy.nii.gz,1003762/T1_clean.nii.gz
1004093,1004093/T1_noisy.nii.gz,1004093/T1_clean.nii.gz
1004308,1004308/T1_noisy.nii.gz,1004308/T1_clean.nii.gz
1004617,1004617/T1_noisy.nii.gz,1004617/T1_clean.nii.gz
1004678,1004678/T1_noisy.nii.gz,1004678/T1_clean.nii.gz
1004876,1004876/T1_noisy.nii.gz,1004876/T1_clean.nii.gz
1005007,1005007/T1_noisy.nii.gz,1005007/T1_clean.nii.gz
1005038,1005038/T1_noisy.nii.gz,1005038/T1_clean.nii.gz
1005137,1005137/T1_noisy.nii.gz,1005137/T1_clean.nii.gz
1005186,1005186/T1_noisy.nii.gz,1005186/T1_clean.nii.gz
1005195,1005195/T1_noisy.nii.gz,1005195/T1_clean.nii.gz
1005396,1005396/T1_noisy.nii.gz,1005396/T1_clean.nii.gz
1005459,1005459/T1_noisy.nii.gz,1005459/T1_clean.nii.gz
1005516,1005516/T1_noisy.nii.gz,1005516/T1_clean.nii.gz
1005669,1005669/T1_noisy.nii.gz,1005669/T1_clean.nii.gz
1005776,1005776/T1_noisy.nii.gz,1005776/T1_clean.nii.gz
1006210,1006210/T1_noisy.nii.gz,1006210/T1_clean.nii.gz
1006283,1006283/T1_noisy.nii.gz,1006283/T1_clean.nii.gz
1006468,1006468/T1_noisy.nii.gz,1006468/T1_clean.nii.gz
1006872,1006872/T1_noisy.nii.gz,1006872/T1_clean.nii.gz
1008529,1008529/T1_noisy.nii.gz,1008529/T1_clean.nii.gz
1008573,1008573/T1_noisy.nii.gz,1008573/T1_clean.nii.gz
1008683,1008683/T1_noisy.nii.gz,1008683/T1_clean.nii.gz
